地名,センター,燃やせるごみ（有料),燃やせるごみ（無料),燃やせないごみ(有料),プラスチック(資源 無料),有害ごみ(無料),びん(資源 無料),缶(資源 無料),ペットボトル(資源 無料),新聞・折込チラシ(資源 無料),段ボール・茶色紙(資源 無料),雑誌・本・雑がみ(資源 無料),牛乳等紙パック(資源 無料),古布(資源 無料),せん定枝(資源 無料)
錦町,清掃工場,月 木,月 木,火2 火4,金,水2 水4,水2 水4,火1 火3,火,金1 金3,水2 水4,水1 水3,水1 水3,金2 金4,水1 水3
柴崎町,清掃工場,月 木,月 木,火2 火4,金,水2 水4,水2 水4,火1 火3,火,金1 金3,水2 水4,水1 水3,水1 水3,金2 金4,水1 水31,
羽衣町,清掃工場,月 木,月 木,火2 火4,金,水2 水4,水2 水4,火1 火3,火,金1 金3,水2 水4,水1 水3,水1 水3,金2 金4,水1 水3
富士見町,清掃工場,月 木,月 木,火2 火4,金,水2 水4,水2 水4,火1 火3,火,金1 金3,水2 水4,水1 水3,水1 水3,金2 金4,水1 水3
曙町,清掃工場,月 木,月 木,火1 火3,火,水1 水3,水1 水3,火2 火4,金,金1 金3,水2 水4,水1 水3,水1 水3,金2 金4,水2 水4
高松町,清掃工場,月 木,月 木,火1 火3,火,水1 水3,水1 水3,火2 火4,金,金1 金3,水2 水4,水1 水3,水1 水3,金2 金4,水2 水4
栄町,清掃工場,月 木,月 木,火1 火3,火,水1 水3,水1 水3,火2 火4,金,金1 金3,水2 水4,水1 水3,水1 水3,金2 金4,水2 水4
若葉町,清掃工場,火 金,火 金,月2 月4,木,水1 水3,水1 水3,月1 月3,月,木1 木3,水2 水4,水1 水3,水1 水3,木2 木4,水2 水4
幸町,清掃工場,火 金,火 金,月2 月4,木,水1 水3,水1 水3,月1 月3,月,木1 木3,水2 水4,水1 水3,水1 水3,木2 木4,水2 水4
柏町,清掃工場,火 金,火 金,月2 月4,木,水1 水3,水1 水3,月1 月3,月,木1 木3,水2 水4,水1 水3,水1 水3,木2 木4,水2 水4
緑町,清掃工場,火 金,火 金,月1 月3,月,水2 水4,水2 水4,月2 月4,木,木1 木3,水2 水4,水1 水3,水1 水3,木2 木4,水1 水3
泉町,清掃工場,火 金,火 金,月1 月3,月,水2 水4,水2 水4,月2 月4,木,木1 木3,水2 水4,水1 水3,水1 水3,木2 木4,水1 水3
砂川町,清掃工場,火 金,火 金,月1 月3,月,水2 水4,水2 水4,月2 月4,木,木1 木3,水2 水4,水1 水3,水1 水3,木2 木4,水1 水3
上砂町,清掃工場,火 金,火 金,月1 月3,月,水2 水4,水2 水4,月2 月4,木,木1 木3,水2 水4,水1 水3,水1 水3,木2 木4,水1 水3
一番町,清掃工場,火 金,火 金,月1 月3,月,水2 水4,水2 水4,月2 月4,木,木1 木3,水2 水4,水1 水3,水1 水3,木2 木4,水1 水3
西砂町,清掃工場,火 金,火 金,月1 月3,月,水2 水4,水2 水4,月2 月4,木,木1 木3,水2 水4,水1 水3,水1 水3,木2 木4,水1 水3
